member_ref,elo_depart,jour
m001,1305,2026-07-27
m002,1273,2026-07-27
m003,1254,2026-07-27
m004,1232,2026-07-27
m005,1213,2026-07-27
m006,1085,2026-07-27
m007,1234,2026-07-27
m008,1245,2026-07-27
m009,1202,2026-07-27
m010,1208,2026-07-27
m011,1158,2026-07-27
m012,1266,2026-07-27
m013,1030,2026-07-27
m014,1203,2026-07-27
m015,1218,2026-07-27
m016,1174,2026-07-27
m017,1196,2026-07-27
m018,1148,2026-07-27
m019,1180,2026-07-27
m020,1196,2026-07-27
m021,1169,2026-07-27
m022,1181,2026-07-27
m023,1151,2026-07-27
m024,1176,2026-07-27
m025,1176,2026-07-27
m026,1187,2026-07-27
m027,1172,2026-07-27
m028,1168,2026-07-27
m029,1167,2026-07-27
m030,1169,2026-07-27
m031,1172,2026-07-27
m032,1117,2026-07-27
m033,1163,2026-07-27
m034,1107,2026-07-27
m035,1162,2026-07-27
m036,1199,2026-07-27
m037,1148,2026-07-27
m038,1118,2026-07-27
m039,1158,2026-07-27
m040,1163,2026-07-27
m041,1168,2026-07-27
m042,1163,2026-07-27
m043,1160,2026-07-27
m044,1133,2026-07-27
m045,1165,2026-07-27
m046,1088,2026-07-27
m047,1148,2026-07-27
m048,1102,2026-07-27
m049,1180,2026-07-27
m050,1101,2026-07-27
m051,1118,2026-07-27
m052,1176,2026-07-27
m053,1150,2026-07-27
m054,1087,2026-07-27
m055,1127,2026-07-27
m056,1149,2026-07-27
m057,1131,2026-07-27
m058,1171,2026-07-27
m059,1122,2026-07-27
m060,1134,2026-07-27
m061,1081,2026-07-27
m062,1086,2026-07-27
m063,1107,2026-07-27
m064,1111,2026-07-27
m065,1158,2026-07-27
m066,1165,2026-07-27
m067,1115,2026-07-27
m068,1140,2026-07-27
m069,1141,2026-07-27
m070,1101,2026-07-27
m071,1072,2026-07-27
m072,1131,2026-07-27
m073,1129,2026-07-27
m074,1127,2026-07-27
m075,1130,2026-07-27
m076,1150,2026-07-27
m077,1156,2026-07-27
m078,1041,2026-07-27
m079,1103,2026-07-27
m080,1112,2026-07-27
m081,1120,2026-07-27
m082,1141,2026-07-27
m083,1118,2026-07-27
m084,1116,2026-07-27
m085,1121,2026-07-27
m086,1089,2026-07-27
m087,1091,2026-07-27
m088,1094,2026-07-27
m089,1092,2026-07-27
m090,1094,2026-07-27
m091,1074,2026-07-27
m092,1087,2026-07-27
m093,1083,2026-07-27
m094,1118,2026-07-27
m095,1108,2026-07-27
m096,1079,2026-07-27
m097,1095,2026-07-27
m098,1089,2026-07-27
m099,1060,2026-07-27
m100,1090,2026-07-27
m101,1127,2026-07-27
m102,1060,2026-07-27
m103,1088,2026-07-27
m104,1075,2026-07-27
m105,1061,2026-07-27
m106,1075,2026-07-27
m107,1066,2026-07-27
m108,1096,2026-07-27
m109,1108,2026-07-27
m110,1132,2026-07-27
m111,1055,2026-07-27
m112,1073,2026-07-27
m113,1075,2026-07-27
m114,1054,2026-07-27
m115,1064,2026-07-27
m116,1049,2026-07-27
m117,1059,2026-07-27
m118,1066,2026-07-27
m119,1074,2026-07-27
m120,1037,2026-07-27
m121,1055,2026-07-27
m122,1084,2026-07-27
m123,1070,2026-07-27
m124,1047,2026-07-27
m125,1027,2026-07-27
m126,1041,2026-07-27
m127,1053,2026-07-27
m128,1081,2026-07-27
m129,1031,2026-07-27
m130,1063,2026-07-27
m131,1062,2026-07-27
m132,1012,2026-07-27
m133,1006,2026-07-27
m134,1018,2026-07-27
m135,1002,2026-07-27
m136,1008,2026-07-27
m137,1076,2026-07-27
m138,1071,2026-07-27
m139,1003,2026-07-27
m140,1035,2026-07-27
m141,981,2026-07-27
m142,1074,2026-07-27
m143,1002,2026-07-27
m144,984,2026-07-27
m145,997,2026-07-27
m146,976,2026-07-27
m147,1030,2026-07-27
m148,973,2026-07-27
m149,957,2026-07-27
m150,968,2026-07-27
